,id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,review_scores_rating,number_of_reviews
752,8627368,27265704,0,Congress Park,39.73471126941432,-104.94383312161888,Private room,2,1.0,1,1.0,38.0,0.0,98.0,8
753,8632521,45395723,0,Highland,39.75493076213388,-105.00866193072274,Entire home/apt,2,1.0,1,2.0,100.0,100.0,100.0,2
756,8654128,10455352,0,Five Points,39.75289113569667,-104.99161596360432,Entire home/apt,6,2.0,2,3.0,225.0,80.0,95.0,68
757,8654999,10455352,0,Five Points,39.7552278252529,-104.9915490677062,Entire home/apt,4,1.5,1,2.0,200.0,80.0,94.0,22
759,8671797,22289312,1,Whittier,39.752542109772854,-104.96984430476549,Entire home/apt,3,1.0,1,1.0,125.0,75.0,99.0,70
760,8680784,45409664,0,Whittier,39.7610172946563,-104.96816416317509,Entire home/apt,4,1.0,1,2.0,115.0,35.0,93.0,197
765,8732215,2102215,0,Congress Park,39.728127093815,-104.94891701067921,Entire home/apt,14,3.5,4,4.0,575.0,225.0,97.0,29
767,8739814,43823088,1,Jefferson Park,39.75361316166159,-105.0209440615008,Entire home/apt,6,1.0,2,3.0,145.0,60.0,96.0,202
768,8741171,2402926,0,Southmoor Park,39.63085880569678,-104.91105085761619,Private room,2,1.0,1,1.0,75.0,0.0,100.0,12
770,8741945,27134669,1,Sunnyside,39.7747881632557,-105.00603661275532,Entire home/apt,4,2.5,2,2.0,195.0,150.0,100.0,44
771,8760285,27134669,1,Sunnyside,39.77315052494781,-105.00718577186359,Entire home/apt,5,2.5,2,2.0,195.0,150.0,100.0,152
772,8786283,36958541,0,Cheesman Park,39.73037972487461,-104.97051347136903,Private room,1,1.0,1,1.0,48.0,12.0,89.0,96
773,8797683,12706357,0,Sloan Lake,39.747366278858955,-105.03742433292544,Entire home/apt,7,2.5,2,4.0,180.0,135.0,97.0,38
777,8835660,11307722,1,Gateway - Green Valley Ranch,39.794227479257344,-104.7462923713448,Entire home/apt,6,2.0,2,4.0,120.0,65.0,99.0,33
778,8846169,4366942,0,City Park West,39.74754842969632,-104.96125271488572,Entire home/apt,2,1.0,0,1.0,47.0,60.0,92.0,15
781,8861520,11583644,0,Congress Park,39.73907332650264,-104.9490661084857,Entire home/apt,5,2.0,2,2.0,145.0,75.0,98.0,24
787,8907023,11873373,1,Five Points,39.75755694096189,-104.97398783247291,Entire home/apt,6,1.0,3,3.0,175.0,125.0,95.0,96
791,8951180,976565,0,Sloan Lake,39.75321374628452,-105.0299589134617,Entire home/apt,8,1.0,3,4.0,175.0,99.0,96.0,12
792,8954951,46559882,1,Five Points,39.76574163452953,-104.97465876986696,Entire home/apt,8,2.5,3,4.0,199.0,75.0,98.0,94
793,8954954,134798,0,West Highland,39.767661714878784,-105.04508676115826,Private room,1,1.0,1,1.0,40.0,150.0,100.0,1
794,8961978,42690080,1,Union Station,39.75455217642423,-105.00375737341648,Entire home/apt,2,1.0,1,1.0,155.0,30.0,98.0,191
795,8965601,46855358,1,Jefferson Park,39.748245304844154,-105.02215185041945,Entire home/apt,6,3.0,2,3.0,250.0,40.0,99.0,64
808,9010867,12241986,1,Highland,39.76348588126833,-105.0063734125915,Entire home/apt,7,1.0,3,3.0,130.0,100.0,95.0,90
810,9029687,47123686,1,Berkeley,39.77323956928496,-105.05042762380936,Entire home/apt,8,2.5,4,5.0,180.0,150.0,95.0,31
813,9040364,9103199,1,Globeville,39.7717519861341,-104.98356451937056,Entire home/apt,4,1.0,1,2.0,80.0,100.0,94.0,18
818,9076048,6011801,0,Belcaro,39.703244523922976,-104.95583960803455,Entire home/apt,5,1.0,2,3.0,110.0,75.0,96.0,116
819,9080234,932656,1,Rosedale,39.675249378026095,-104.98616188208264,Entire home/apt,8,2.0,3,2.0,279.0,160.0,100.0,37
820,9080518,47354885,0,Whittier,39.75468154541976,-104.96619815309697,Entire home/apt,2,1.0,1,1.0,65.0,40.0,91.0,17
821,9098063,363921,0,CBD,39.74425481839346,-104.99380834226568,Entire home/apt,2,1.0,1,1.0,210.0,25.0,100.0,3
822,9108143,1799191,1,Five Points,39.75836450731285,-104.98019589962936,Entire home/apt,4,1.0,2,3.0,209.0,65.0,100.0,321
824,9128031,27121940,1,Union Station,39.75128609776095,-105.00275440891859,Entire home/apt,6,1.0,2,2.0,350.0,80.0,99.0,27
825,9135545,24483378,0,West Highland,39.76616796951484,-105.0532326175457,Shared room,1,1.0,1,1.0,18.0,10.0,91.0,111
828,9154399,24401158,0,Union Station,39.74976008357911,-105.00132670824448,Entire home/apt,2,2.0,2,2.0,105.0,125.0,100.0,12
830,9169151,932707,1,Sloan Lake,39.75151844075352,-105.0391759115965,Entire home/apt,3,1.0,2,2.0,65.0,50.0,97.0,176
831,9169634,4431217,0,Overland,39.67086947331024,-104.9887213465347,Entire home/apt,3,1.0,2,3.0,95.0,75.0,90.0,81
832,9172362,47733511,0,Sloan Lake,39.752471240029365,-105.051829434361,Entire home/apt,4,1.0,2,2.0,125.0,135.0,89.0,7
833,9173434,47739058,1,North Park Hill,39.75805544056729,-104.92584274956623,Entire home/apt,8,3.0,3,4.0,267.0,150.0,99.0,54
834,9186961,20292411,1,Villa Park,39.73150727854462,-105.04966744033621,Private room,3,1.5,1,1.0,65.0,0.0,95.0,134
835,9186978,42247528,0,Hilltop,39.71855986499264,-104.911603039338,Entire home/apt,2,1.0,3,1.0,600.0,0.0,100.0,2
838,9217136,47930157,1,Cheesman Park,39.735707569065966,-104.96453368201384,Entire home/apt,6,2.5,3,3.0,350.0,150.0,97.0,23
840,9250245,48065725,1,Five Points,39.75256297303628,-104.98795612781082,Entire home/apt,4,1.0,1,1.0,95.0,60.0,95.0,115
841,9251803,42777778,0,West Colfax,39.74477039037039,-105.02896964294584,Entire home/apt,6,2.5,2,3.0,175.0,150.0,98.0,144
848,9361718,9153063,0,Capitol Hill,39.728636981310416,-104.9857403764632,Entire home/apt,3,1.0,1,1.0,102.0,100.0,94.0,32
850,9362272,37167620,0,Stapleton,39.75851193478153,-104.89081572113984,Entire home/apt,8,2.5,3,6.0,175.0,160.0,100.0,4
853,9372481,4431217,0,Overland,39.671170987496225,-104.98895194465143,Entire home/apt,4,1.0,2,3.0,99.0,75.0,94.0,100
856,9388362,36474519,0,Lincoln Park,39.7355859247876,-105.00023300926456,Private room,2,1.0,1,1.0,90.0,10.0,95.0,20
858,9409220,48788579,0,West Highland,39.762751478157746,-105.02629767524543,Entire home/apt,2,1.0,1,1.0,114.0,50.0,98.0,18
860,9428199,48873476,0,Five Points,39.753941233205055,-104.99264996951456,Private room,2,1.0,1,1.0,197.0,10.0,97.0,7
861,9433028,45409664,0,Whittier,39.76079620372524,-104.96898041485572,Entire home/apt,4,1.0,1,1.0,79.0,35.0,90.0,162
863,9445553,24483378,0,West Highland,39.767664122034226,-105.05248874634357,Shared room,1,1.0,1,1.0,18.0,15.0,91.0,89
866,9471950,10161376,1,Five Points,39.75084159892551,-104.98192679775131,Entire home/apt,3,1.0,1,2.0,99.0,69.0,95.0,192
869,9496966,49223382,1,City Park West,39.74102069437394,-104.97311457040564,Entire home/apt,6,2.0,2,2.0,159.0,60.0,97.0,233
871,9520316,30900892,0,Highland,39.764307711867616,-105.01851930353551,Entire home/apt,3,1.0,0,2.0,133.0,0.0,98.0,15
873,9525155,3042995,1,Gateway - Green Valley Ranch,39.797202366143,-104.73577609506357,Shared room,1,1.0,1,1.0,27.0,7.0,95.0,27
874,9528174,33609700,0,Jefferson Park,39.75039099503336,-105.02335558972072,Entire home/apt,6,2.5,2,2.0,275.0,140.0,97.0,24
875,9528868,48003722,1,Sloan Lake,39.75691225080652,-105.0524193375638,Private room,2,1.0,1,1.0,65.0,15.0,98.0,51
879,9548317,12511092,0,University Park,39.67110839173745,-104.94505347308744,Entire home/apt,8,5.0,5,5.0,595.0,175.0,,0
881,9591731,4431217,0,Overland,39.671325642175134,-104.98869169621048,Entire home/apt,6,1.0,3,5.0,135.0,95.0,95.0,91
882,9595212,3042995,1,Gateway - Green Valley Ranch,39.796293443265654,-104.73967035642185,Shared room,1,1.0,1,1.0,27.0,7.0,99.0,34
883,9596444,49668304,1,Whittier,39.755065644699656,-104.96612628210495,Private room,2,1.5,1,1.0,45.0,40.0,100.0,17
884,9604653,34722103,1,Windsor,39.6966888433996,-104.88176799999323,Private room,2,1.0,1,1.0,67.0,0.0,95.0,53
887,9652984,10767400,1,Capitol Hill,39.737611854666376,-104.97702400527213,Entire home/apt,2,1.0,0,1.0,75.0,25.0,99.0,275
894,9731001,48730444,1,Gateway - Green Valley Ranch,39.79037395516162,-104.77130626622706,Private room,2,1.0,1,1.0,47.0,8.0,97.0,402
897,9779508,654613,1,Washington Park,39.70716846745034,-104.96901139253357,Entire home/apt,2,1.0,1,1.0,105.0,70.0,98.0,16
900,9796646,16492305,0,West Highland,39.766692189580844,-105.0431854925047,Entire home/apt,6,1.0,2,2.0,82.0,60.0,95.0,17
902,9813474,43229789,0,Berkeley,39.778263708472046,-105.04417777037986,Entire home/apt,2,1.5,1,1.0,150.0,75.0,98.0,49
905,9882316,36297762,1,Clayton,39.766628065679996,-104.94833051069216,Entire home/apt,4,1.0,2,2.0,125.0,0.0,98.0,148
910,9941493,14178014,0,Baker,39.724347967940396,-104.99253403831976,Entire home/apt,5,1.0,1,3.0,122.0,50.0,96.0,19
911,9944575,14178014,0,Capitol Hill,39.73492208781728,-104.9766384760062,Entire home/apt,15,5.0,6,12.0,995.0,200.0,98.0,115
912,9951890,10411487,1,Highland,39.76107518895702,-105.01350289592692,Private room,2,1.5,1,1.0,47.0,75.0,98.0,123
915,10015153,11397394,0,Speer,39.716076391824906,-104.98215213653464,Private room,2,1.0,1,1.0,50.0,10.0,92.0,58
917,10021154,4706233,1,Athmar Park,39.70368961920282,-105.01130699315138,Entire home/apt,2,1.0,3,4.0,199.0,100.0,,0
919,10040421,51536293,0,City Park,39.74223361128746,-104.9481437567878,Entire home/apt,6,1.0,2,2.0,115.0,25.0,84.0,103
921,10061459,51532358,1,Barnum West,39.7211007310535,-105.04269565700471,Private room,4,1.0,1,1.0,49.0,40.0,96.0,79
923,10088031,4431217,0,Overland,39.67002502921546,-104.9888560890453,Entire home/apt,4,1.0,2,4.0,125.0,85.0,90.0,78
924,10104359,49224678,0,Five Points,39.75543933813026,-104.9915654791261,Entire home/apt,3,1.0,1,1.0,600.0,25.0,100.0,10
925,10118833,4513655,0,Wellshire,39.666548104328214,-104.94393618340094,Private room,2,1.0,1,1.0,80.0,35.0,100.0,8
926,10121716,4423393,1,Virginia Village,39.6815629260321,-104.93054510265532,Entire home/apt,4,1.0,2,3.0,58.0,95.0,93.0,9
928,10139185,52033197,0,University,39.68175155426814,-104.96570480848247,Private room,1,1.0,1,1.0,50.0,0.0,,0
930,10161676,52159454,1,Virginia Village,39.690712603072775,-104.9266039431988,Entire home/apt,4,1.0,2,2.0,105.0,105.0,99.0,55
931,10190798,52340701,0,Sunnyside,39.77529451664304,-105.01170026184488,Entire home/apt,4,1.0,2,2.0,90.0,40.0,90.0,64
934,10237203,36757616,1,Congress Park,39.73371672738178,-104.94645714244776,Entire home/apt,2,1.0,1,1.0,70.0,10.0,98.0,299
935,10248217,35248471,1,Berkeley,39.780547102534705,-105.040027091225,Entire home/apt,4,1.0,2,3.0,160.0,50.0,98.0,61
936,10250349,14126753,1,Athmar Park,39.70396718897194,-105.02310248541424,Entire home/apt,16,3.0,6,11.0,499.0,230.0,96.0,39
939,10310231,221400,0,Congress Park,39.737888664416715,-104.945257796324,Entire home/apt,4,1.0,1,1.0,102.0,50.0,99.0,23
942,10392038,22064994,1,Clayton,39.76283393779904,-104.94739534229653,Entire home/apt,5,1.0,2,2.0,120.0,50.0,97.0,47
943,10392285,24490061,0,CBD,39.743961160902266,-104.98940080658078,Entire home/apt,2,1.0,1,1.0,65.0,80.0,97.0,42
946,10422938,16385975,0,Overland,39.67378482052224,-104.9906674814921,Private room,3,1.0,1,1.0,38.0,20.0,91.0,12
947,10426535,4431217,0,Overland,39.672248414138,-104.98887168893845,Entire home/apt,4,1.0,2,4.0,125.0,75.0,94.0,79
948,10449729,43803732,1,Sloan Lake,39.751302889239284,-105.02547920450212,Entire home/apt,5,1.0,2,2.0,165.0,75.0,97.0,42
950,10487407,27915952,0,CBD,39.7459555662707,-104.99705948840588,Entire home/apt,4,2.5,2,2.0,147.0,0.0,90.0,2
952,10495744,54105025,1,Stapleton,39.75687877714137,-104.87350680605059,Private room,2,1.0,1,1.0,54.0,6.0,99.0,98
953,10500429,3042995,1,Gateway - Green Valley Ranch,39.7981233521756,-104.74505413889072,Shared room,1,1.0,1,1.0,27.0,7.0,93.0,17
955,10526349,34284138,0,Capitol Hill,39.73825624986147,-104.98225229570221,Entire home/apt,3,1.0,0,2.0,95.0,0.0,100.0,1
960,10599633,54693089,1,Highland,39.76179517878683,-105.01690692138746,Entire home/apt,4,1.0,1,1.0,79.0,75.0,96.0,178
963,10655290,15351912,0,City Park West,39.7438723137401,-104.96248798430031,Entire home/apt,4,1.0,2,2.0,105.0,48.0,86.0,142
970,10709107,55341034,1,Gateway - Green Valley Ranch,39.77372250540253,-104.75231086521214,Entire home/apt,6,1.0,2,2.0,99.0,50.0,98.0,26
972,10747925,54233525,0,Capitol Hill,39.73520000972263,-104.97441704244949,Entire home/apt,8,2.0,3,3.0,242.0,145.0,95.0,86
974,10810898,42247528,0,City Park West,39.74247005267413,-104.97056802296274,Entire home/apt,2,1.0,1,1.0,600.0,30.0,60.0,2
975,10828998,56071269,1,Five Points,39.74761875015745,-104.98330762223408,Entire home/apt,12,2.0,5,10.0,597.0,225.0,96.0,23
977,10855586,25005399,1,Highland,39.76290265087413,-105.0167689551858,Entire home/apt,15,2.5,4,9.0,299.0,125.0,99.0,125
980,10878200,46602248,0,Hampden South,39.640428961026466,-104.90283300176463,Private room,1,1.0,1,1.0,59.0,0.0,100.0,3
984,10884095,12744170,0,Speer,39.723496179511145,-104.97909344651244,Entire home/apt,2,1.0,0,1.0,155.0,0.0,100.0,1
986,10923097,30064096,0,Highland,39.76044463020108,-105.014476709345,Entire home/apt,4,2.0,1,2.0,116.0,85.0,95.0,6
987,10927209,48873476,0,Five Points,39.75230566734648,-104.99132852926128,Private room,2,1.0,1,1.0,185.0,10.0,,1
988,10927436,48873476,0,Five Points,39.75287430065435,-104.99082908538587,Shared room,4,2.0,1,4.0,65.0,0.0,95.0,15
989,10927557,48873476,0,Five Points,39.75211571155912,-104.99100662301302,Shared room,5,2.0,1,5.0,60.0,0.0,93.0,18
991,10927816,48873476,0,Five Points,39.75215137779812,-104.99113163185366,Shared room,6,2.0,1,6.0,57.0,0.0,97.0,19
992,10927867,48873476,0,Five Points,39.75284479951841,-104.9913579965902,Shared room,7,2.0,1,7.0,57.0,0.0,96.0,9
993,10927919,48873476,0,Five Points,39.753211586257436,-104.9923865724366,Shared room,8,2.0,1,8.0,55.0,0.0,93.0,23
994,10927966,48873476,0,Five Points,39.75380879399254,-104.99309060867928,Shared room,9,2.0,1,9.0,58.0,0.0,94.0,10
996,10928100,48873476,0,Five Points,39.753524106322,-104.99149877195231,Shared room,10,2.0,1,10.0,55.0,0.0,88.0,13
997,10946289,3792996,1,Baker,39.713453406844785,-104.98784158259285,Entire home/apt,2,1.0,2,2.0,99.0,125.0,98.0,9
1000,11031305,46602248,0,Hampden South,39.63886092496221,-104.9036590990744,Private room,1,1.0,1,1.0,69.0,0.0,87.0,3
1002,11048504,57342209,0,Jefferson Park,39.75706631019055,-105.02121801059806,Entire home/apt,6,2.0,3,3.0,175.0,55.0,98.0,23
1003,11065664,50005108,1,Hilltop,39.722891331898396,-104.90708971412876,Private room,2,1.0,1,1.0,99.0,50.0,97.0,43
1005,11078469,57512193,1,Five Points,39.752644077310656,-104.99110792328469,Entire home/apt,10,2.0,2,6.0,250.0,139.0,98.0,204
1006,11080835,10161902,1,Clayton,39.767486417901495,-104.95406269509519,Private room,2,1.0,1,1.0,42.0,0.0,100.0,193
1007,11089270,27421727,0,Hampden South,39.639975002146976,-104.9030897220162,Entire home/apt,5,1.5,2,2.0,115.0,40.0,92.0,140
1013,11127739,47832519,1,Berkeley,39.76983958545256,-105.0434592267635,Entire home/apt,7,1.5,2,2.0,125.0,65.0,99.0,162
1018,11192056,49223382,1,City Park West,39.74137486916712,-104.97185033973513,Entire home/apt,5,1.0,2,3.0,139.0,50.0,97.0,253
1021,11240044,42241906,1,Elyria Swansea,39.77854237997111,-104.94893209307926,Entire home/apt,6,1.0,2,3.0,120.0,75.0,95.0,74
1024,11260243,17150354,0,Highland,39.76231535643914,-105.02008048605768,Entire home/apt,4,2.0,2,3.0,175.0,0.0,100.0,1
1025,11277311,36382732,1,Capitol Hill,39.73683283288931,-104.98135455948251,Private room,2,1.0,1,1.0,75.0,15.0,99.0,134
1026,11280998,44118875,0,West Colfax,39.74010031389334,-105.03760550884785,Entire home/apt,2,1.0,1,1.0,65.0,20.0,98.0,11
1027,11295273,313516,1,Capitol Hill,39.732352032895996,-104.97430753505085,Entire home/apt,2,1.0,1,1.0,85.0,35.0,99.0,145
1033,11338921,52363049,1,Five Points,39.75270824812165,-104.989038669266,Entire home/apt,3,1.0,1,1.0,125.0,50.0,97.0,218
1034,11356130,2869051,0,North Capitol Hill,39.74680030890283,-104.97913251088006,Entire home/apt,4,2.0,2,2.0,99.0,80.0,93.0,108
1036,11377981,531267,0,University Hills,39.65534051699887,-104.92696011818556,Private room,2,1.5,1,1.0,25.0,100.0,97.0,6
1040,11420270,37746616,1,Five Points,39.762234962571995,-104.9744592364849,Entire home/apt,3,1.0,1,2.0,120.0,30.0,97.0,59
1042,11482047,10279860,0,City Park West,39.741665200914504,-104.96048125657572,Entire home/apt,4,1.0,1,2.0,109.0,60.0,91.0,60
1043,11496933,58878331,1,Sunnyside,39.772357850338324,-105.0099302308045,Entire home/apt,7,1.0,2,3.0,185.0,85.0,97.0,71
1049,11544160,60910118,1,Northeast Park Hill,39.770056475116746,-104.91842106826408,Entire home/apt,8,1.5,2,5.0,119.0,100.0,98.0,49
1058,11627188,33153062,0,Marston,39.63451613302729,-105.08842511070137,Shared room,1,1.0,1,1.0,45.0,20.0,100.0,1
1062,11676326,62009334,0,Virginia Village,39.694714111715214,-104.92611523037516,Private room,1,1.0,1,1.0,43.0,25.0,97.0,13
1063,11690656,13832898,1,Hale,39.73932996840404,-104.933383835464,Private room,8,1.0,1,5.0,100.0,50.0,97.0,142
1064,11691684,62120151,0,Washington Park,39.69428333925497,-104.96309834123429,Entire home/apt,4,1.0,2,2.0,279.0,75.0,90.0,10
1065,11691732,953271,1,Hilltop,39.7165031062153,-104.93494244350114,Private room,5,1.5,2,3.0,160.0,85.0,95.0,30
1068,11713844,62275890,0,City Park West,39.742763034583135,-104.9671726171357,Entire home/apt,6,1.0,2,3.0,121.0,115.0,93.0,117
1069,11721881,62336604,1,Five Points,39.748568500182046,-104.97411429232406,Entire home/apt,4,1.5,1,2.0,129.0,50.0,99.0,83
1070,11722154,17467221,1,Skyland,39.75575937571304,-104.95121242199973,Entire home/apt,4,1.0,1,2.0,123.0,35.0,97.0,95
1072,11755186,20991907,1,Stapleton,39.75669260478731,-104.87221600584154,Entire home/apt,8,3.5,4,5.0,192.0,75.0,98.0,99
1083,11904176,6658113,0,CBD,39.74561716553984,-104.99758280083523,Entire home/apt,2,1.0,0,1.0,69.0,0.0,100.0,6
1084,11945010,63778241,1,Capitol Hill,39.73393178721057,-104.97356983468485,Entire home/apt,4,1.0,1,2.0,150.0,60.0,98.0,134
1087,11966335,59967996,1,Sunnyside,39.77093829666549,-105.01101517251794,Entire home/apt,6,1.0,2,2.0,199.0,85.0,97.0,63
1094,12002460,10387069,0,Hale,39.734132624267815,-104.9241073796064,Private room,2,1.0,1,1.0,66.0,25.0,99.0,117
1097,12068403,64660966,1,Five Points,39.75288487421039,-104.98765280669014,Entire home/apt,3,1.0,1,1.0,129.0,34.0,96.0,303
1098,12072343,11817280,0,Highland,39.75763992850422,-105.01691430437245,Entire home/apt,4,1.0,1,2.0,110.0,60.0,99.0,64
1102,12169776,9997429,1,Baker,39.724230494238526,-104.99296612667034,Entire home/apt,9,2.0,3,3.0,199.0,125.0,96.0,57
1103,12169927,78356,1,Highland,39.765932897574395,-105.01471317185342,Entire home/apt,3,1.0,1,2.0,115.0,25.0,98.0,112
1105,12186872,5492143,0,Washington Park West,39.699319216107966,-104.98137233603651,Entire home/apt,2,1.0,1,1.0,83.0,40.0,95.0,137
1110,12210358,7796684,1,West Colfax,39.74373247113697,-105.04564355897385,Entire home/apt,4,2.0,2,2.0,200.0,110.0,99.0,48
1112,12214224,43130573,1,Five Points,39.75211773031312,-104.97997870998672,Entire home/apt,4,2.0,2,2.0,122.0,55.0,99.0,25
1113,12227790,65781133,1,Whittier,39.75719171030534,-104.96423174131003,Entire home/apt,2,1.0,1,1.0,83.0,0.0,99.0,39
1116,12251369,49224678,0,Five Points,39.755478361733225,-104.99272219740229,Private room,2,1.0,1,1.0,600.0,25.0,98.0,11
1117,12267876,66076427,1,Jefferson Park,39.74791840287303,-105.0209424838542,Entire home/apt,8,2.5,3,3.0,263.0,95.0,99.0,93
1118,12270856,2102215,0,Five Points,39.74946132563735,-104.97559917475172,Entire home/apt,4,1.0,2,2.0,139.0,75.0,99.0,32
1119,12276698,29217734,1,Lincoln Park,39.72936154168853,-104.99589127999762,Entire home/apt,8,2.5,2,4.0,195.0,115.0,97.0,98
1120,12288253,59101118,1,Washington Virginia Vale,39.69457279150848,-104.90807264472264,Private room,4,1.0,1,2.0,54.0,0.0,99.0,280
1122,12292295,57794835,1,Sloan Lake,39.75019150983347,-105.03258900021284,Entire home/apt,8,4.0,5,4.0,295.0,200.0,99.0,94
1126,12336225,65817365,0,Stapleton,39.755990126315325,-104.89709084140749,Entire home/apt,2,1.0,1,1.0,135.0,100.0,97.0,7
1128,12365447,66801068,1,Five Points,39.75967669854568,-104.97435697930668,Entire home/apt,4,1.5,2,2.0,145.0,40.0,99.0,274
1130,12378764,62275890,0,Berkeley,39.770640919363935,-105.02724327400587,Entire home/apt,8,2.5,3,4.0,129.0,185.0,97.0,124
1132,12405975,25129743,1,Washington Park West,39.701958261304675,-104.98560028318893,Entire home/apt,3,1.0,1,2.0,110.0,85.0,97.0,87
1134,12446321,188265,1,Washington Park West,39.70204608888006,-104.97911636102491,Entire home/apt,10,2.0,4,5.0,289.0,125.0,99.0,34
1137,12455228,15203290,0,Capitol Hill,39.732353243159594,-104.98091223991614,Entire home/apt,2,1.0,1,1.0,73.0,150.0,93.0,3
1138,12464711,67453870,1,West Highland,39.759704054391115,-105.04639448842728,Entire home/apt,4,2.0,2,2.0,180.0,100.0,98.0,23
1139,12476899,67536087,0,Whittier,39.75773617008071,-104.97163828540371,Entire home/apt,6,2.0,3,3.0,475.0,180.0,100.0,10
1140,12487223,7796684,1,West Colfax,39.74239874503049,-105.0458909566528,Entire home/apt,4,2.0,2,2.0,160.0,110.0,99.0,49
1144,12546318,37425718,1,Chaffee Park,39.78932735137053,-105.00751794175207,Private room,2,1.0,1,1.0,45.0,20.0,100.0,41
1145,12561648,68094863,1,Union Station,39.75618659743672,-105.00634654946558,Entire home/apt,2,1.0,1,1.0,175.0,25.0,98.0,22
1147,12570017,13611163,1,Fort Logan,39.63209058409853,-105.03974111318064,Private room,4,2.5,1,1.0,110.0,30.0,99.0,17
1149,12606455,47979834,1,Congress Park,39.72903177060795,-104.95128497000532,Private room,4,1.0,2,3.0,125.0,0.0,99.0,63
1151,12623801,39124,0,Five Points,39.76098080588482,-104.97869814624376,Entire home/apt,4,1.0,2,2.0,110.0,25.0,95.0,188
1152,12626903,68558775,0,East Colfax,39.738546135946216,-104.89980724012733,Private room,2,1.0,1,1.0,40.0,40.0,93.0,11
1156,12685709,48819895,1,Five Points,39.767020576579405,-104.97431322460365,Entire home/apt,10,3.0,3,5.0,395.0,125.0,98.0,132
1160,12708238,69076268,0,Washington Park,39.69939569541001,-104.96481456391004,Entire home/apt,3,1.0,1,1.0,89.0,65.0,90.0,12
1164,12761180,45325332,1,Cheesman Park,39.7351576860876,-104.971448880757,Entire home/apt,3,1.0,1,1.0,78.0,75.0,98.0,25
1166,12775875,10677257,0,Clayton,39.766553777107895,-104.9540153510263,Entire home/apt,4,1.0,1,2.0,115.0,60.0,92.0,15
1168,12791280,9405246,1,Berkeley,39.77264755741278,-105.05199534970764,Entire home/apt,6,2.5,3,3.0,149.0,125.0,99.0,125
1175,12812975,2868799,0,Five Points,39.76599525341803,-104.97338858398668,Entire home/apt,4,1.0,2,2.0,159.0,100.0,94.0,78
1177,12834834,41330028,0,Capitol Hill,39.73748891881005,-104.97304255343694,Entire home/apt,10,2.0,4,6.0,225.0,48.0,95.0,136
1179,12864305,69073112,1,Washington Park,39.704858407566135,-104.96265559585704,Entire home/apt,4,1.0,1,2.0,115.0,70.0,98.0,177
1183,12890649,70567723,1,Capitol Hill,39.73086459349519,-104.9863949257467,Entire home/apt,16,3.5,8,10.0,800.0,300.0,94.0,41
1189,12932332,61577440,1,Montclair,39.72582203110024,-104.92030807448572,Private room,2,1.0,1,1.0,60.0,0.0,99.0,134
1196,12966487,66662458,0,Marston,39.63007217268765,-105.08171822220426,Private room,1,1.0,1,1.0,30.0,0.0,,0
1201,12990793,71576074,1,Five Points,39.75840705597141,-104.97954193094569,Private room,2,1.0,1,1.0,85.0,35.0,99.0,259
1204,12996773,44105547,1,Berkeley,39.776656338867504,-105.02839982107992,Private room,2,1.0,2,1.0,85.0,25.0,100.0,17
1205,13003785,71674557,1,Platt Park,39.688942853204495,-104.97885046297002,Entire home/apt,8,2.0,3,3.0,215.0,150.0,98.0,34
1216,13059132,62275890,0,City Park West,39.74469883620651,-104.96770760675241,Entire home/apt,2,1.0,1,2.0,65.0,105.0,88.0,119
1220,13077113,72516076,0,Harvey Park,39.67688113452245,-105.0577498145492,Entire home/apt,4,1.0,2,2.0,99.0,75.0,79.0,14
1224,13111432,72896593,0,Gateway - Green Valley Ranch,39.77311393966936,-104.80539003698978,Entire home/apt,6,2.0,2,4.0,199.0,125.0,95.0,11
1229,13129305,73105638,0,Lincoln Park,39.7259048296805,-104.9987055987436,Private room,2,1.0,1,1.0,50.0,20.0,93.0,36
1233,13140326,34274795,0,Virginia Village,39.68785555659851,-104.93674362706156,Entire home/apt,8,2.0,3,4.0,250.0,150.0,100.0,7
1234,13141367,73248437,0,Washington Virginia Vale,39.69793326523603,-104.923978203657,Entire home/apt,4,1.0,1,1.0,99.0,0.0,94.0,75
1238,13156741,73450249,1,Lincoln Park,39.734925513949115,-105.00465851276086,Entire home/apt,3,1.0,0,1.0,165.0,80.0,98.0,50
1248,13192107,32093355,1,Capitol Hill,39.73675191845017,-104.97764599940564,Entire home/apt,6,1.5,3,3.0,350.0,125.0,99.0,38
1249,13193529,55341034,1,Gateway - Green Valley Ranch,39.77734309492707,-104.76850349617708,Entire home/apt,10,2.5,3,3.0,140.0,50.0,98.0,20
1250,13194349,50847379,1,West Highland,39.76356520268579,-105.04398401615543,Entire home/apt,2,1.0,1,1.0,120.0,50.0,99.0,137
1251,13204273,47682244,1,South Park Hill,39.750645903977365,-104.90424058245424,Entire home/apt,2,1.0,1,1.0,64.0,15.0,99.0,99
1259,13238467,47414861,1,Berkeley,39.779304558602,-105.04544581308755,Entire home/apt,6,3.5,3,3.0,225.0,150.0,100.0,6
1260,13260989,74646741,1,Stapleton,39.759162117212476,-104.89496345946758,Entire home/apt,4,1.0,1,2.0,97.0,85.0,99.0,86
1290,13406078,9543177,0,West Highland,39.765169535744405,-105.02682845252652,Entire home/apt,4,1.0,2,2.0,275.0,85.0,100.0,2
