listing_id,date
360,2018-08-13
360,2018-08-21
360,2018-08-23
590,2009-03-29
590,2009-04-09
590,2009-05-26
590,2009-06-06
590,2009-06-26
590,2009-07-24
590,2009-09-27
590,2009-10-13
590,2009-10-29
590,2009-12-18
590,2010-01-06
590,2010-03-03
590,2010-03-17
590,2010-04-02
590,2010-05-07
590,2010-05-17
590,2010-06-03
590,2010-06-15
590,2010-06-18
590,2010-06-27
590,2010-07-06
590,2010-07-10
590,2010-07-15
590,2010-07-22
590,2010-07-28
590,2010-07-29
590,2010-08-05
590,2010-08-13
590,2010-08-14
590,2010-08-16
590,2010-08-17
590,2010-08-22
590,2010-08-25
590,2010-08-30
590,2010-09-26
590,2010-09-28
590,2010-10-06
590,2010-10-19
590,2010-10-22
590,2010-10-26
590,2010-11-01
590,2010-11-10
590,2010-11-16
590,2010-11-27
590,2010-12-09
590,2011-01-15
590,2011-02-02
590,2011-02-14
590,2011-03-28
590,2011-04-13
590,2011-04-16
590,2011-04-18
590,2011-04-19
590,2011-04-25
590,2011-05-01
590,2011-05-04
590,2011-05-15
590,2011-05-17
590,2011-05-21
590,2011-05-23
590,2011-05-24
590,2011-06-01
590,2011-06-07
590,2011-06-13
590,2011-06-19
590,2011-06-20
590,2011-06-23
590,2011-06-26
590,2011-06-29
590,2011-07-03
590,2011-07-05
590,2011-07-06
590,2011-07-11
590,2011-07-13
590,2011-07-19
590,2011-07-21
590,2011-07-26
590,2011-07-27
590,2011-07-28
590,2011-08-02
590,2011-08-04
590,2011-08-07
590,2011-08-10
590,2011-08-16
590,2011-08-21
590,2011-08-27
590,2011-09-01
590,2011-09-08
590,2011-09-14
590,2011-09-16
590,2011-09-18
590,2011-09-19
590,2011-09-28
590,2011-09-29
590,2011-10-16
590,2011-10-20
590,2011-10-22
590,2011-10-24
590,2011-10-26
590,2011-11-01
590,2011-11-02
590,2011-11-18
590,2011-11-26
590,2011-12-01
590,2011-12-02
590,2011-12-06
590,2011-12-30
590,2012-01-07
590,2012-01-16
590,2012-01-17
590,2012-01-24
590,2012-02-04
590,2012-02-23
590,2012-02-24
590,2012-02-26
590,2012-03-11
590,2012-03-13
590,2012-03-21
590,2012-03-26
590,2012-03-31
590,2012-04-02
590,2012-04-12
590,2012-04-19
590,2012-04-22
590,2012-04-23
590,2012-05-11
590,2012-05-14
590,2012-05-16
590,2012-05-23
590,2012-05-26
590,2012-05-27
590,2012-06-03
590,2012-06-09
590,2012-06-11
590,2012-06-15
590,2012-06-16
590,2012-06-26
590,2012-06-27
590,2012-07-04
590,2012-07-10
590,2012-07-12
590,2012-07-13
590,2012-07-16
590,2012-07-18
590,2012-07-19
590,2012-07-21
590,2012-07-24
590,2012-07-25
590,2012-07-26
590,2012-07-28
590,2012-07-29
590,2012-07-30
590,2012-08-01
590,2012-08-02
590,2012-08-04
590,2012-08-09
590,2012-08-12
590,2012-08-14
590,2012-08-16
590,2012-08-19
590,2012-08-26
590,2012-08-27
590,2012-08-28
590,2012-08-29
590,2012-08-31
590,2012-09-01
590,2012-09-05
590,2012-09-06
590,2012-09-07
590,2012-09-09
590,2012-09-10
590,2012-09-17
590,2012-09-20
590,2012-10-10
590,2012-10-24
590,2012-10-26
590,2012-11-18
590,2012-12-18
590,2013-01-10
590,2013-01-15
590,2013-01-21
590,2013-01-30
590,2013-02-06
590,2013-02-19
590,2013-03-05
590,2013-03-12
590,2013-03-21
