id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17863354,"Stylish, Remodeled Row Home",34955862,Scott,,Baker,39.71444915653976,-104.99057035292422,Entire home/apt,127,2,26,2018-08-18,1.64,17,329
17879901,1890's Row Home Baker/Downtown area- “Whole House”,121967520,Jacop,,Baker,39.71876183415762,-104.9943463706897,Entire home/apt,100,1,47,2018-07-29,2.79,3,82
17880848,Broncos Stadium Townhouse,7838351,Devin,,West Colfax,39.74297863676854,-105.02896806613514,Entire home/apt,200,3,15,2018-08-12,0.94,1,345
17900323,Charming Highlands Apartment,122651960,Christie,,Highland,39.76349436598056,-105.01143560085065,Entire home/apt,85,2,85,2018-08-11,5.19,2,234
17904679,Comfortable 2Bd Condo Centrally Located!,19029543,Brian,,Speer,39.720462453195225,-104.97896184567115,Entire home/apt,120,3,29,2018-08-20,2.11,1,22
17922871,ROOM IN BRAND NEW HOUSE WITH ROOFTOP PATIO ACCESS,49424751,Dustin,,West Colfax,39.7460919744573,-105.02803802308205,Private room,80,2,12,2018-08-10,0.71,2,21
17924602,Two Rooms Available in Beautiful 3 bedroom house,2843403,Shaughn,,Berkeley,39.779519869014536,-105.05313818622518,Private room,75,100,0,,,1,89
17927914,Breathtaking Premier Loft on Market Street by Stay Alfred,114353388,Stay Alfred,,Five Points,39.756291103671444,-104.9895650954692,Entire home/apt,231,1,0,,,71,343
17927915,Attractive Premier Loft on Market Street by Stay Alfred,114353388,Stay Alfred,,Five Points,39.75489788803696,-104.99053935027564,Entire home/apt,231,1,0,,,71,332
17927916,Wonderful Premier Loft on Market Street by Stay Alfred,114353388,Stay Alfred,,Five Points,39.75609892892284,-104.98951729586378,Entire home/apt,231,1,0,,,71,354
17927961,Phenomenal Premier Loft on Market Street by Stay Alfred,114353388,Stay Alfred,,Five Points,39.75461094161254,-104.99135705095217,Entire home/apt,230,1,0,,,71,318
17942549,Private Basement in renovated home near Mile High,54708774,Jordan,,Villa Park,39.72818771759162,-105.0271288563609,Private room,150,1,15,2018-08-26,8.49,2,96
17960399,Clean and Fresh Studio on the edge of Cheesman,11945703,Thomasa,,Cheesman Park,39.73674002451694,-104.96850993410737,Entire home/apt,70,2,26,2018-05-28,1.55,2,20
